panel,behavior,alpha,avg_score
fig2_after_clipping,myopic-reward,-1.3,-0.8389
fig2_after_clipping,myopic-reward,-1.2,-0.8238
fig2_after_clipping,myopic-reward,-1.1,-0.7826
fig2_after_clipping,myopic-reward,-1.0,-0.7189
fig2_after_clipping,myopic-reward,-0.9,-0.6426
fig2_after_clipping,myopic-reward,-0.8,-0.5338
fig2_after_clipping,myopic-reward,-0.7,-0.4038
fig2_after_clipping,myopic-reward,-0.6,-0.2425
fig2_after_clipping,myopic-reward,-0.5,-0.0539
fig2_after_clipping,myopic-reward,-0.4,0.1325
fig2_after_clipping,myopic-reward,-0.3,0.3299
fig2_after_clipping,myopic-reward,-0.2,0.4911
fig2_after_clipping,myopic-reward,-0.1,0.6299
fig2_after_clipping,myopic-reward,-0.0,0.7412
fig2_after_clipping,myopic-reward,0.1,0.8625
fig2_after_clipping,myopic-reward,0.2,0.9861
fig2_after_clipping,myopic-reward,0.3,1.0888
fig2_after_clipping,myopic-reward,0.4,1.1938
fig2_after_clipping,myopic-reward,0.5,1.3324
fig2_after_clipping,myopic-reward,0.6,1.43
fig2_after_clipping,myopic-reward,0.7,1.5513
fig2_after_clipping,myopic-reward,0.8,1.6562
fig2_after_clipping,myopic-reward,0.9,1.7511
fig2_after_clipping,myopic-reward,1.0,1.8074
fig2_after_clipping,myopic-reward,1.1,1.8399
fig2_after_clipping,myopic-reward,1.2,1.8025
fig2_after_clipping,myopic-reward,1.3,1.7563
fig2_after_clipping,myopic-reward,1.4,1.6749
fig2_after_clipping,myopic-reward,1.5,1.56
fig2_after_clipping,myopic-reward,1.6,1.4524
fig2_after_clipping,myopic-reward,1.7,1.3375
fig2_after_clipping,myopic-reward,1.8,1.2324
fig2_after_clipping,myopic-reward,1.9,1.1413
fig2_after_clipping,myopic-reward,2.0,1.0574
fig2_after_clipping,power-seeking-inclination,-2.0,-0.5576
fig2_after_clipping,power-seeking-inclination,-1.9,-0.5513
fig2_after_clipping,power-seeking-inclination,-1.8,-0.5738
fig2_after_clipping,power-seeking-inclination,-1.7,-0.585
fig2_after_clipping,power-seeking-inclination,-1.6,-0.6076
fig2_after_clipping,power-seeking-inclination,-1.5,-0.6525
fig2_after_clipping,power-seeking-inclination,-1.4,-0.635
fig2_after_clipping,power-seeking-inclination,-1.3,-0.6363
fig2_after_clipping,power-seeking-inclination,-1.2,-0.5787
fig2_after_clipping,power-seeking-inclination,-1.1,-0.435
fig2_after_clipping,power-seeking-inclination,-1.0,-0.2663
fig2_after_clipping,power-seeking-inclination,-0.9,-0.01
fig2_after_clipping,power-seeking-inclination,-0.8,0.285
fig2_after_clipping,power-seeking-inclination,-0.7,0.5662
fig2_after_clipping,power-seeking-inclination,-0.6,0.8863
fig2_after_clipping,power-seeking-inclination,-0.5,1.2175
fig2_after_clipping,power-seeking-inclination,-0.4,1.5163
fig2_after_clipping,power-seeking-inclination,-0.3,1.8449
fig2_after_clipping,power-seeking-inclination,-0.2,2.1849
fig2_after_clipping,power-seeking-inclination,-0.1,2.5224
fig2_after_clipping,power-seeking-inclination,-0.0,2.8499
fig2_after_clipping,power-seeking-inclination,0.1,3.1825
fig2_after_clipping,power-seeking-inclination,0.2,3.525
fig2_after_clipping,power-seeking-inclination,0.3,3.8412
fig2_after_clipping,power-seeking-inclination,0.4,4.155
fig2_after_clipping,power-seeking-inclination,0.5,4.4499
fig2_after_clipping,power-seeking-inclination,0.6,4.7599
fig2_after_clipping,power-seeking-inclination,0.7,5.0137
fig2_after_clipping,power-seeking-inclination,0.8,5.2412
fig2_after_clipping,power-seeking-inclination,0.9,5.4137
fig2_after_clipping,power-seeking-inclination,1.0,5.5599
fig2_after_clipping,power-seeking-inclination,1.1,5.615
fig2_after_clipping,power-seeking-inclination,1.2,5.6937
fig2_after_clipping,power-seeking-inclination,1.3,5.6725
fig2_after_clipping,power-seeking-inclination,1.4,5.635
fig2_after_clipping,power-seeking-inclination,1.5,5.55
fig2_after_clipping,power-seeking-inclination,1.6,5.4899
fig2_after_clipping,power-seeking-inclination,1.7,5.3425
fig2_after_clipping,power-seeking-inclination,1.8,5.2337
fig2_after_clipping,power-seeking-inclination,1.9,5.0462
fig2_after_clipping,power-seeking-inclination,2.0,4.9025
fig2_after_clipping,survival-instinct,-2.0,-2.22
fig2_after_clipping,survival-instinct,-1.9,-2.32
fig2_after_clipping,survival-instinct,-1.8,-2.425
fig2_after_clipping,survival-instinct,-1.7,-2.525
fig2_after_clipping,survival-instinct,-1.6,-2.6237
fig2_after_clipping,survival-instinct,-1.5,-2.6688
fig2_after_clipping,survival-instinct,-1.4,-2.7313
fig2_after_clipping,survival-instinct,-1.3,-2.7437
fig2_after_clipping,survival-instinct,-1.2,-2.7475
fig2_after_clipping,survival-instinct,-1.1,-2.7051
fig2_after_clipping,survival-instinct,-1.0,-2.6051
fig2_after_clipping,survival-instinct,-0.9,-2.4526
fig2_after_clipping,survival-instinct,-0.8,-2.3162
fig2_after_clipping,survival-instinct,-0.7,-2.12
fig2_after_clipping,survival-instinct,-0.6,-1.9026
fig2_after_clipping,survival-instinct,-0.5,-1.6638
fig2_after_clipping,survival-instinct,-0.4,-1.4
fig2_after_clipping,survival-instinct,-0.3,-1.115
fig2_after_clipping,survival-instinct,-0.2,-0.8488
fig2_after_clipping,survival-instinct,-0.1,-0.5426
fig2_after_clipping,survival-instinct,-0.0,-0.2537
fig2_after_clipping,survival-instinct,0.1,0.065
fig2_after_clipping,survival-instinct,0.2,0.3624
fig2_after_clipping,survival-instinct,0.3,0.6838
fig2_after_clipping,survival-instinct,0.4,1.0238
fig2_after_clipping,survival-instinct,0.5,1.3337
fig2_after_clipping,survival-instinct,0.6,1.6524
fig2_after_clipping,survival-instinct,0.7,1.9362
fig2_after_clipping,survival-instinct,0.8,2.1786
fig2_after_clipping,survival-instinct,0.9,2.3962
fig2_after_clipping,survival-instinct,1.0,2.5186
fig2_after_clipping,survival-instinct,1.1,2.6025
fig2_after_clipping,survival-instinct,1.2,2.6099
fig2_after_clipping,survival-instinct,1.3,2.5774
fig2_after_clipping,survival-instinct,1.4,2.5224
fig2_after_clipping,survival-instinct,1.5,2.4475
fig2_after_clipping,survival-instinct,1.6,2.3562
fig2_after_clipping,survival-instinct,1.7,2.2724
fig2_after_clipping,survival-instinct,1.8,2.1824
fig2_after_clipping,survival-instinct,1.9,2.1324
fig2_after_clipping,survival-instinct,2.0,2.025
fig2_after_clipping,wealth-seeking-inclination,-2.0,-1.9388
fig2_after_clipping,wealth-seeking-inclination,-1.9,-2.08
fig2_after_clipping,wealth-seeking-inclination,-1.8,-2.2438
fig2_after_clipping,wealth-seeking-inclination,-1.7,-2.3913
fig2_after_clipping,wealth-seeking-inclination,-1.6,-2.5013
fig2_after_clipping,wealth-seeking-inclination,-1.5,-2.6201
fig2_after_clipping,wealth-seeking-inclination,-1.4,-2.68
fig2_after_clipping,wealth-seeking-inclination,-1.3,-2.7688
fig2_after_clipping,wealth-seeking-inclination,-1.2,-2.7601
fig2_after_clipping,wealth-seeking-inclination,-1.1,-2.7201
fig2_after_clipping,wealth-seeking-inclination,-1.0,-2.7051
fig2_after_clipping,wealth-seeking-inclination,-0.9,-2.6275
fig2_after_clipping,wealth-seeking-inclination,-0.8,-2.515
fig2_after_clipping,wealth-seeking-inclination,-0.7,-2.4012
fig2_after_clipping,wealth-seeking-inclination,-0.6,-2.27
fig2_after_clipping,wealth-seeking-inclination,-0.5,-2.12
fig2_after_clipping,wealth-seeking-inclination,-0.4,-1.9138
fig2_after_clipping,wealth-seeking-inclination,-0.3,-1.73
fig2_after_clipping,wealth-seeking-inclination,-0.2,-1.5025
fig2_after_clipping,wealth-seeking-inclination,-0.1,-1.2639
fig2_after_clipping,wealth-seeking-inclination,-0.0,-1.0387
fig2_after_clipping,wealth-seeking-inclination,0.1,-0.7725
fig2_after_clipping,wealth-seeking-inclination,0.2,-0.5226
fig2_after_clipping,wealth-seeking-inclination,0.3,-0.1975
fig2_after_clipping,wealth-seeking-inclination,0.4,0.0462
