behavior,gamma,A,B,loss,endpoint_term,slope,f_A,f_B,global_min,global_max,padded_lo,padded_hi,mapped_alpha_at_minus1,mapped_alpha_at_plus1
coordinate-other-ais,0.9,-0.4,0.3,-2.883343,0.510742,4.771205,-0.284424,3.054688,-0.813965,3.546875,-0.741463,0.641463,-0.395732,0.295732
corrigible-neutral-HHH,0.9,-0.6,0.0,-7.447656,1.378906,10.807292,0.867676,7.351562,-0.484375,8.757812,-0.892683,0.292683,-0.596341,-0.003659
myopic-reward,0.9,-1.0,0.5,-0.151172,0.146484,1.330729,-0.505859,1.490234,-0.703125,1.585938,-1.731707,1.231707,-0.990854,0.490854
survival-instinct,0.9,-0.5,0.7,-2.038477,0.304688,3.603516,-2.308594,2.015625,-2.619141,2.314453,-1.085366,1.285366,-0.492683,0.692683
power-seeking-inclination,0.9,-0.5,0.3,-4.844629,0.381348,6.806641,-0.37085,5.074219,-0.637695,5.570312,-0.890244,0.690244,-0.495122,0.295122
wealth-seeking-inclination,0.9,-0.3,0.7,-1.947949,0.273926,3.46875,-1.768555,1.699219,-2.148438,1.867188,-0.787805,1.187805,-0.293902,0.693902
coordinate-other-ais,0.95,-0.4,0.3,-3.071903,0.510742,4.771205,-0.284424,3.054688,-0.813965,3.546875,-0.741463,0.641463,-0.395732,0.295732
corrigible-neutral-HHH,0.95,-0.6,0.0,-7.938021,1.378906,10.807292,0.867676,7.351562,-0.484375,8.757812,-0.892683,0.292683,-0.596341,-0.003659
myopic-reward,0.95,-1.0,0.5,-0.167708,0.146484,1.330729,-0.505859,1.490234,-0.703125,1.585938,-1.731707,1.231707,-0.990854,0.490854
survival-instinct,0.95,-0.5,0.7,-2.168652,0.304688,3.603516,-2.308594,2.015625,-2.619141,2.314453,-1.085366,1.285366,-0.492683,0.692683
power-seeking-inclination,0.95,-0.5,0.3,-5.134961,0.381348,6.806641,-0.37085,5.074219,-0.637695,5.570312,-0.890244,0.690244,-0.495122,0.295122
wealth-seeking-inclination,0.95,-0.2,0.6,-2.075024,0.516602,3.728027,-1.522461,1.459961,-2.148438,1.867188,-0.590244,0.990244,-0.195122,0.595122
coordinate-other-ais,1.0,-0.4,0.3,-3.260463,0.510742,4.771205,-0.284424,3.054688,-0.813965,3.546875,-0.741463,0.641463,-0.395732,0.295732
corrigible-neutral-HHH,1.0,-0.6,0.0,-8.428385,1.378906,10.807292,0.867676,7.351562,-0.484375,8.757812,-0.892683,0.292683,-0.596341,-0.003659
myopic-reward,1.0,-1.0,0.5,-0.184245,0.146484,1.330729,-0.505859,1.490234,-0.703125,1.585938,-1.731707,1.231707,-0.990854,0.490854
survival-instinct,1.0,-0.5,0.7,-2.298828,0.304688,3.603516,-2.308594,2.015625,-2.619141,2.314453,-1.085366,1.285366,-0.492683,0.692683
power-seeking-inclination,1.0,-0.5,0.3,-5.425293,0.381348,6.806641,-0.37085,5.074219,-0.637695,5.570312,-0.890244,0.690244,-0.495122,0.295122
wealth-seeking-inclination,1.0,-0.1,0.6,-2.212402,0.654785,3.867187,-1.246094,1.459961,-2.148438,1.867188,-0.441463,0.941463,-0.095732,0.595732
