estimator,alpha,beta,avg_score,percent_steered,order
orthogonal-parameterized,-1.0,1.0,0.43310546875,0.48,alpha_first
orthogonal-parameterized,-1.0,1.5,1.2666015625,0.585,alpha_first
orthogonal-parameterized,-1.0,2.0,1.8828125,0.675,alpha_first
parameterized,-1.0,-2.0,-0.170654296875,0.355,alpha_first
parameterized,-1.0,-1.5,-0.28564453125,0.37,alpha_first
parameterized,-1.0,-1.0,-0.21435546875,0.405,alpha_first
parameterized,-1.0,-0.5,0.251953125,0.465,alpha_first
parameterized,-1.0,0.0,1.0400390625,0.56,alpha_first
parameterized,-1.0,0.5,1.73046875,0.655,alpha_first
parameterized,-1.0,1.0,2.080078125,0.705,alpha_first
parameterized,-1.0,1.5,2.083984375,0.725,alpha_first
parameterized,-1.0,2.0,1.861328125,0.77,alpha_first
orthogonal-parameterized,-0.75,-2.0,-0.755859375,0.46,alpha_first
orthogonal-parameterized,-0.75,-1.5,-0.362548828125,0.385,alpha_first
orthogonal-parameterized,-0.75,-1.0,-0.1474609375,0.345,alpha_first
orthogonal-parameterized,-0.75,-0.5,-0.2255859375,0.375,alpha_first
orthogonal-parameterized,-0.75,0.0,-0.2449951171875,0.395,alpha_first
orthogonal-parameterized,-0.75,0.5,0.130615234375,0.475,alpha_first
orthogonal-parameterized,-0.75,1.0,0.92041015625,0.545,alpha_first
orthogonal-parameterized,-0.75,1.5,1.71484375,0.62,alpha_first
orthogonal-parameterized,-0.75,2.0,2.17578125,0.735,alpha_first
parameterized,-0.75,-2.0,-0.1494140625,0.38,alpha_first
parameterized,-0.75,-1.5,-0.295654296875,0.37,alpha_first
parameterized,-0.75,-1.0,-0.2081298828125,0.41,alpha_first
parameterized,-0.75,-0.5,0.308837890625,0.465,alpha_first
parameterized,-0.75,0.0,1.1611328125,0.57,alpha_first
parameterized,-0.75,0.5,1.87109375,0.665,alpha_first
parameterized,-0.75,1.0,2.2421875,0.725,alpha_first
parameterized,-0.75,1.5,2.21875,0.77,alpha_first
parameterized,-0.75,2.0,1.9208984375,0.765,alpha_first
orthogonal-parameterized,-0.5,-2.0,-0.398193359375,0.415,alpha_first
orthogonal-parameterized,-0.5,-1.5,-0.16943359375,0.365,alpha_first
orthogonal-parameterized,-0.5,-1.0,-0.175048828125,0.375,alpha_first
orthogonal-parameterized,-0.5,-0.5,-0.265625,0.385,alpha_first
orthogonal-parameterized,-0.5,0.0,-0.03936767578125,0.45,alpha_first
orthogonal-parameterized,-0.5,0.5,0.6787109375,0.525,alpha_first
orthogonal-parameterized,-0.5,1.0,1.64453125,0.62,alpha_first
orthogonal-parameterized,-0.5,1.5,2.26953125,0.72,alpha_first
orthogonal-parameterized,-0.5,2.0,2.408203125,0.77,alpha_first
parameterized,-0.5,-2.0,-0.1700439453125,0.365,alpha_first
