estimator,alpha,beta,avg_score,percent_steered,order
parameterized,-0.75,0.5,-0.0137481689453125,0.485,beta_first
parameterized,-0.75,1.0,0.06500244140625,0.485,beta_first
parameterized,-0.75,1.5,0.10247802734375,0.5,beta_first
parameterized,-0.75,2.0,0.166259765625,0.48,beta_first
orthogonal-parameterized,-0.5,-2.0,-0.4462890625,0.35,beta_first
orthogonal-parameterized,-0.5,-1.5,-0.3701171875,0.4,beta_first
orthogonal-parameterized,-0.5,-1.0,-0.3173828125,0.44,beta_first
orthogonal-parameterized,-0.5,-0.5,-0.15869140625,0.475,beta_first
orthogonal-parameterized,-0.5,0.0,0.237548828125,0.51,beta_first
orthogonal-parameterized,-0.5,0.5,1.0615234375,0.555,beta_first
orthogonal-parameterized,-0.5,1.0,1.91015625,0.625,beta_first
orthogonal-parameterized,-0.5,1.5,2.892578125,0.74,beta_first
orthogonal-parameterized,-0.5,2.0,3.69921875,0.785,beta_first
parameterized,-0.5,-2.0,-0.0362548828125,0.505,beta_first
parameterized,-0.5,-1.5,0.063720703125,0.515,beta_first
parameterized,-0.5,-1.0,0.1087646484375,0.515,beta_first
parameterized,-0.5,-0.5,0.175048828125,0.515,beta_first
parameterized,-0.5,0.0,0.262451171875,0.495,beta_first
parameterized,-0.5,0.5,0.327392578125,0.515,beta_first
parameterized,-0.5,1.0,0.4111328125,0.53,beta_first
parameterized,-0.5,1.5,0.467529296875,0.555,beta_first
parameterized,-0.5,2.0,0.5263671875,0.545,beta_first
orthogonal-parameterized,-0.25,-2.0,-0.36376953125,0.4,beta_first
orthogonal-parameterized,-0.25,-1.5,-0.356201171875,0.44,beta_first
orthogonal-parameterized,-0.25,-1.0,-0.21630859375,0.485,beta_first
orthogonal-parameterized,-0.25,-0.5,0.1324462890625,0.515,beta_first
orthogonal-parameterized,-0.25,0.0,0.97265625,0.555,beta_first
orthogonal-parameterized,-0.25,0.5,1.8173828125,0.625,beta_first
orthogonal-parameterized,-0.25,1.0,2.8515625,0.74,beta_first
orthogonal-parameterized,-0.25,1.5,3.83984375,0.79,beta_first
orthogonal-parameterized,-0.25,2.0,4.0859375,0.78,beta_first
parameterized,-0.25,-2.0,0.81982421875,0.56,beta_first
parameterized,-0.25,-1.5,0.896484375,0.545,beta_first
parameterized,-0.25,-1.0,0.95263671875,0.555,beta_first
parameterized,-0.25,-0.5,0.9951171875,0.555,beta_first
parameterized,-0.25,0.0,1.0029296875,0.555,beta_first
parameterized,-0.25,0.5,1.0751953125,0.565,beta_first
parameterized,-0.25,1.0,1.1201171875,0.58,beta_first
parameterized,-0.25,1.5,1.1728515625,0.58,beta_first
parameterized,-0.25,2.0,1.2099609375,0.595,beta_first
orthogonal-parameterized,0.0,-2.0,-0.358642578125,0.43,beta_first
orthogonal-parameterized,0.0,-1.5,-0.30126953125,0.465,beta_first
orthogonal-parameterized,0.0,-1.0,-0.09002685546875,0.5,beta_first
orthogonal-parameterized,0.0,-0.5,0.6337890625,0.54,beta_first
orthogonal-parameterized,0.0,0.0,1.50390625,0.585,beta_first
orthogonal-parameterized,0.0,0.5,2.435546875,0.695,beta_first
orthogonal-parameterized,0.0,1.0,3.572265625,0.765,beta_first
orthogonal-parameterized,0.0,1.5,4.203125,0.795,beta_first
orthogonal-parameterized,0.0,2.0,3.98828125,0.78,beta_first
parameterized,0.0,-2.0,1.541015625,0.585,beta_first
parameterized,0.0,-1.5,1.5126953125,0.58,beta_first
parameterized,0.0,-1.0,1.5078125,0.585,beta_first
parameterized,0.0,-0.5,1.5,0.585,beta_first
parameterized,0.0,0.0,1.486328125,0.595,beta_first
parameterized,0.0,0.5,1.5439453125,0.605,beta_first
parameterized,0.0,1.0,1.607421875,0.62,beta_first
parameterized,0.0,1.5,1.697265625,0.625,beta_first
parameterized,0.0,2.0,1.7109375,0.645,beta_first
orthogonal-parameterized,0.25,-2.0,-0.3349609375,0.46,beta_first
orthogonal-parameterized,0.25,-1.5,-0.2037353515625,0.49,beta_first
orthogonal-parameterized,0.25,-1.0,0.2548828125,0.525,beta_first
orthogonal-parameterized,0.25,-0.5,1.2158203125,0.56,beta_first
orthogonal-parameterized,0.25,0.0,2.064453125,0.645,beta_first
orthogonal-parameterized,0.25,0.5,3.171875,0.75,beta_first
orthogonal-parameterized,0.25,1.0,4.15234375,0.795,beta_first
orthogonal-parameterized,0.25,1.5,4.2890625,0.785,beta_first
orthogonal-parameterized,0.25,2.0,3.712890625,0.75,beta_first
parameterized,0.25,-2.0,2.212890625,0.625,beta_first
parameterized,0.25,-1.5,2.171875,0.62,beta_first
parameterized,0.25,-1.0,2.154296875,0.635,beta_first
parameterized,0.25,-0.5,2.076171875,0.645,beta_first
parameterized,0.25,0.0,2.060546875,0.655,beta_first
parameterized,0.25,0.5,2.091796875,0.665,beta_first
parameterized,0.25,1.0,2.15234375,0.66,beta_first
parameterized,0.25,1.5,2.189453125,0.685,beta_first
parameterized,0.25,2.0,2.2265625,0.695,beta_first
orthogonal-parameterized,0.5,-2.0,-0.288818359375,0.49,beta_first
orthogonal-parameterized,0.5,-1.5,0.1937255859375,0.52,beta_first
orthogonal-parameterized,0.5,-1.0,1.1826171875,0.575,beta_first
orthogonal-parameterized,0.5,-0.5,2.111328125,0.635,beta_first
orthogonal-parameterized,0.5,0.0,3.189453125,0.73,beta_first
orthogonal-parameterized,0.5,0.5,4.2109375,0.77,beta_first
orthogonal-parameterized,0.5,1.0,4.40234375,0.78,beta_first
orthogonal-parameterized,0.5,1.5,3.86328125,0.745,beta_first
orthogonal-parameterized,0.5,2.0,3.08203125,0.73,beta_first
parameterized,0.5,-2.0,3.19921875,0.685,beta_first
parameterized,0.5,-1.5,3.23828125,0.71,beta_first
parameterized,0.5,-1.0,3.2109375,0.71,beta_first
parameterized,0.5,-0.5,3.16796875,0.72,beta_first
parameterized,0.5,0.0,3.140625,0.745,beta_first
parameterized,0.5,0.5,3.119140625,0.745,beta_first
parameterized,0.5,1.0,3.126953125,0.745,beta_first
parameterized,0.5,1.5,3.068359375,0.74,beta_first
parameterized,0.5,2.0,2.9921875,0.755,beta_first
orthogonal-parameterized,0.75,-2.0,0.1387939453125,0.53,beta_first
orthogonal-parameterized,0.75,-1.5,1.16015625,0.56,beta_first
orthogonal-parameterized,0.75,-1.0,2.14453125,0.615,beta_first
orthogonal-parameterized,0.75,-0.5,3.2421875,0.715,beta_first
orthogonal-parameterized,0.75,0.0,4.24609375,0.77,beta_first
orthogonal-parameterized,0.75,0.5,4.484375,0.78,beta_first
orthogonal-parameterized,0.75,1.0,3.966796875,0.75,beta_first
orthogonal-parameterized,0.75,1.5,3.189453125,0.73,beta_first
orthogonal-parameterized,0.75,2.0,2.498046875,0.68,beta_first
parameterized,0.75,-2.0,3.955078125,0.73,beta_first
parameterized,0.75,-1.5,4.0703125,0.735,beta_first
parameterized,0.75,-1.0,4.1328125,0.745,beta_first
parameterized,0.75,-0.5,4.1640625,0.76,beta_first
parameterized,0.75,0.0,4.11328125,0.76,beta_first
parameterized,0.75,0.5,4.06640625,0.78,beta_first
parameterized,0.75,1.0,3.94921875,0.795,beta_first
parameterized,0.75,1.5,3.79296875,0.79,beta_first
parameterized,0.75,2.0,3.572265625,0.78,beta_first
orthogonal-parameterized,1.0,-2.0,0.76123046875,0.555,beta_first
orthogonal-parameterized,1.0,-1.5,1.83203125,0.61,beta_first
orthogonal-parameterized,1.0,-1.0,2.884765625,0.685,beta_first
orthogonal-parameterized,1.0,-0.5,3.97265625,0.745,beta_first
orthogonal-parameterized,1.0,0.0,4.4765625,0.775,beta_first
orthogonal-parameterized,1.0,0.5,4.25390625,0.75,beta_first
orthogonal-parameterized,1.0,1.0,3.509765625,0.745,beta_first
orthogonal-parameterized,1.0,1.5,2.77734375,0.705,beta_first
orthogonal-parameterized,1.0,2.0,2.20703125,0.645,beta_first
parameterized,1.0,-2.0,4.12890625,0.74,beta_first
parameterized,1.0,-1.5,4.296875,0.74,beta_first
parameterized,1.0,-1.0,4.36328125,0.75,beta_first
parameterized,1.0,-0.5,4.390625,0.765,beta_first
parameterized,1.0,0.0,4.36328125,0.775,beta_first
parameterized,1.0,0.5,4.296875,0.765,beta_first
parameterized,1.0,1.0,4.14453125,0.765,beta_first
parameterized,1.0,1.5,3.9375,0.765,beta_first
parameterized,1.0,2.0,3.703125,0.765,beta_first
orthogonal-parameterized,1.25,-2.0,1.4541015625,0.575,beta_first
orthogonal-parameterized,1.25,-1.5,2.525390625,0.64,beta_first
orthogonal-parameterized,1.25,-1.0,3.5859375,0.73,beta_first
orthogonal-parameterized,1.25,-0.5,4.37890625,0.755,beta_first
orthogonal-parameterized,1.25,0.0,4.4140625,0.755,beta_first
orthogonal-parameterized,1.25,0.5,3.802734375,0.755,beta_first
orthogonal-parameterized,1.25,1.0,3.064453125,0.72,beta_first
orthogonal-parameterized,1.25,1.5,2.384765625,0.655,beta_first
orthogonal-parameterized,1.25,2.0,1.8837890625,0.6,beta_first
parameterized,1.25,-2.0,4.05078125,0.74,beta_first
parameterized,1.25,-1.5,4.2109375,0.75,beta_first
parameterized,1.25,-1.0,4.296875,0.745,beta_first
parameterized,1.25,-0.5,4.296875,0.745,beta_first
parameterized,1.25,0.0,4.30078125,0.75,beta_first
parameterized,1.25,0.5,4.19921875,0.76,beta_first
parameterized,1.25,1.0,4.01171875,0.755,beta_first
parameterized,1.25,1.5,3.810546875,0.76,beta_first
parameterized,1.25,2.0,3.580078125,0.755,beta_first
orthogonal-parameterized,1.5,-2.0,2.51171875,0.63,beta_first
orthogonal-parameterized,1.5,-1.5,3.544921875,0.71,beta_first
orthogonal-parameterized,1.5,-1.0,4.2421875,0.745,beta_first
orthogonal-parameterized,1.5,-0.5,4.328125,0.75,beta_first
orthogonal-parameterized,1.5,0.0,3.8203125,0.74,beta_first
orthogonal-parameterized,1.5,0.5,3.08984375,0.705,beta_first
orthogonal-parameterized,1.5,1.0,2.4296875,0.65,beta_first
orthogonal-parameterized,1.5,1.5,1.951171875,0.6,beta_first
orthogonal-parameterized,1.5,2.0,1.51953125,0.545,beta_first
parameterized,1.5,-2.0,3.59765625,0.71,beta_first
parameterized,1.5,-1.5,3.744140625,0.72,beta_first
parameterized,1.5,-1.0,3.78515625,0.725,beta_first
parameterized,1.5,-0.5,3.767578125,0.73,beta_first
parameterized,1.5,0.0,3.73828125,0.74,beta_first
parameterized,1.5,0.5,3.626953125,0.735,beta_first
parameterized,1.5,1.0,3.490234375,0.735,beta_first
parameterized,1.5,1.5,3.318359375,0.735,beta_first
parameterized,1.5,2.0,3.125,0.735,beta_first
orthogonal-parameterized,1.75,-2.0,3.439453125,0.695,beta_first
orthogonal-parameterized,1.75,-1.5,4.140625,0.74,beta_first
orthogonal-parameterized,1.75,-1.0,4.25390625,0.75,beta_first
orthogonal-parameterized,1.75,-0.5,3.787109375,0.74,beta_first
orthogonal-parameterized,1.75,0.0,3.09765625,0.7,beta_first
orthogonal-parameterized,1.75,0.5,2.45703125,0.64,beta_first
orthogonal-parameterized,1.75,1.0,1.951171875,0.59,beta_first
orthogonal-parameterized,1.75,1.5,1.5400390625,0.54,beta_first
orthogonal-parameterized,1.75,2.0,1.173828125,0.52,beta_first
parameterized,1.75,-2.0,3.005859375,0.67,beta_first
parameterized,1.75,-1.5,3.052734375,0.675,beta_first
parameterized,1.75,-1.0,3.087890625,0.685,beta_first
parameterized,1.75,-0.5,3.1015625,0.695,beta_first
parameterized,1.75,0.0,3.0390625,0.7,beta_first
parameterized,1.75,0.5,2.966796875,0.69,beta_first
parameterized,1.75,1.0,2.857421875,0.71,beta_first
parameterized,1.75,1.5,2.7578125,0.71,beta_first
parameterized,1.75,2.0,2.634765625,0.7,beta_first
orthogonal-parameterized,2.0,-2.0,3.822265625,0.725,beta_first
orthogonal-parameterized,2.0,-1.5,4.1484375,0.75,beta_first
orthogonal-parameterized,2.0,-1.0,3.912109375,0.73,beta_first
orthogonal-parameterized,2.0,-0.5,3.341796875,0.71,beta_first
orthogonal-parameterized,2.0,0.0,2.689453125,0.65,beta_first
orthogonal-parameterized,2.0,0.5,2.12890625,0.61,beta_first
orthogonal-parameterized,2.0,1.0,1.6884765625,0.56,beta_first
orthogonal-parameterized,2.0,1.5,1.3115234375,0.535,beta_first
orthogonal-parameterized,2.0,2.0,0.99853515625,0.51,beta_first
parameterized,2.0,-2.0,2.59765625,0.62,beta_first
parameterized,2.0,-1.5,2.650390625,0.625,beta_first
parameterized,2.0,-1.0,2.63671875,0.63,beta_first
parameterized,2.0,-0.5,2.630859375,0.635,beta_first
parameterized,2.0,0.0,2.5859375,0.645,beta_first
parameterized,2.0,0.5,2.5625,0.65,beta_first
parameterized,2.0,1.0,2.4921875,0.665,beta_first
parameterized,2.0,1.5,2.41015625,0.665,beta_first
parameterized,2.0,2.0,2.328125,0.675,beta_first
