estimator,alpha,beta,avg_score,percent_steered,order
orthogonal-parameterized,-0.75,-1.5,-0.4462890625,0.36,alpha_first
orthogonal-parameterized,-0.75,-1.0,-0.33251953125,0.405,alpha_first
orthogonal-parameterized,-0.75,-0.5,-0.271240234375,0.435,alpha_first
orthogonal-parameterized,-0.75,0.0,-0.08251953125,0.47,alpha_first
orthogonal-parameterized,-0.75,0.5,0.30615234375,0.51,alpha_first
orthogonal-parameterized,-0.75,1.0,1.1748046875,0.58,alpha_first
orthogonal-parameterized,-0.75,1.5,1.9921875,0.645,alpha_first
orthogonal-parameterized,-0.75,2.0,2.9375,0.745,alpha_first
parameterized,-0.75,-2.0,-0.2225341796875,0.435,alpha_first
parameterized,-0.75,-1.5,-0.0462646484375,0.475,alpha_first
parameterized,-0.75,-1.0,0.328857421875,0.52,alpha_first
parameterized,-0.75,-0.5,1.080078125,0.575,alpha_first
parameterized,-0.75,0.0,1.927734375,0.645,alpha_first
parameterized,-0.75,0.5,2.75,0.73,alpha_first
parameterized,-0.75,1.0,3.3203125,0.765,alpha_first
parameterized,-0.75,1.5,3.40234375,0.785,alpha_first
parameterized,-0.75,2.0,3.025390625,0.765,alpha_first
orthogonal-parameterized,-0.5,-2.0,-0.452392578125,0.35,alpha_first
orthogonal-parameterized,-0.5,-1.5,-0.376220703125,0.4,alpha_first
orthogonal-parameterized,-0.5,-1.0,-0.320068359375,0.435,alpha_first
orthogonal-parameterized,-0.5,-0.5,-0.1624755859375,0.485,alpha_first
orthogonal-parameterized,-0.5,0.0,0.21875,0.51,alpha_first
orthogonal-parameterized,-0.5,0.5,1.0927734375,0.565,alpha_first
orthogonal-parameterized,-0.5,1.0,1.9013671875,0.625,alpha_first
orthogonal-parameterized,-0.5,1.5,2.875,0.735,alpha_first
orthogonal-parameterized,-0.5,2.0,3.720703125,0.785,alpha_first
parameterized,-0.5,-2.0,-0.2225341796875,0.45,alpha_first
parameterized,-0.5,-1.5,-0.032501220703125,0.48,alpha_first
parameterized,-0.5,-1.0,0.322509765625,0.515,alpha_first
parameterized,-0.5,-0.5,1.150390625,0.585,alpha_first
parameterized,-0.5,0.0,1.9921875,0.645,alpha_first
parameterized,-0.5,0.5,2.921875,0.735,alpha_first
parameterized,-0.5,1.0,3.57421875,0.79,alpha_first
parameterized,-0.5,1.5,3.64453125,0.79,alpha_first
parameterized,-0.5,2.0,3.1875,0.765,alpha_first
orthogonal-parameterized,-0.25,-2.0,-0.3525390625,0.4,alpha_first
orthogonal-parameterized,-0.25,-1.5,-0.336181640625,0.435,alpha_first
orthogonal-parameterized,-0.25,-1.0,-0.2225341796875,0.5,alpha_first
