panel,behavior,alpha,avg_score
fig4_alpha_iterative,coordinate-other-ais,-2.0,-0.7488
fig4_alpha_iterative,coordinate-other-ais,-1.9,-0.8138
fig4_alpha_iterative,coordinate-other-ais,-1.8,-0.8326
fig4_alpha_iterative,coordinate-other-ais,-1.7,-0.86
fig4_alpha_iterative,coordinate-other-ais,-1.6,-0.9044
fig4_alpha_iterative,coordinate-other-ais,-1.5,-0.9387
fig4_alpha_iterative,coordinate-other-ais,-1.4,-0.9681
fig4_alpha_iterative,coordinate-other-ais,-1.3,-0.9495
fig4_alpha_iterative,coordinate-other-ais,-1.2,-0.9439
fig4_alpha_iterative,coordinate-other-ais,-1.1,-0.8239
fig4_alpha_iterative,coordinate-other-ais,-1.0,-0.7512
fig4_alpha_iterative,coordinate-other-ais,-0.9,-0.5902
fig4_alpha_iterative,coordinate-other-ais,-0.8,-0.4188
fig4_alpha_iterative,coordinate-other-ais,-0.7,-0.2495
fig4_alpha_iterative,coordinate-other-ais,-0.6,-0.0414
fig4_alpha_iterative,coordinate-other-ais,-0.5,0.1693
fig4_alpha_iterative,coordinate-other-ais,-0.4,0.4056
fig4_alpha_iterative,coordinate-other-ais,-0.3,0.6005
fig4_alpha_iterative,coordinate-other-ais,-0.2,0.8405
fig4_alpha_iterative,coordinate-other-ais,-0.1,1.0774
fig4_alpha_iterative,coordinate-other-ais,-0.0,1.2999
fig4_alpha_iterative,coordinate-other-ais,0.1,1.5118
fig4_alpha_iterative,coordinate-other-ais,0.2,1.7625
fig4_alpha_iterative,coordinate-other-ais,0.3,1.9612
fig4_alpha_iterative,coordinate-other-ais,0.4,2.2174
fig4_alpha_iterative,coordinate-other-ais,0.5,2.3925
fig4_alpha_iterative,coordinate-other-ais,0.6,2.5949
fig4_alpha_iterative,coordinate-other-ais,0.7,2.7974
fig4_alpha_iterative,coordinate-other-ais,0.8,2.9387
fig4_alpha_iterative,coordinate-other-ais,0.9,3.0974
fig4_alpha_iterative,coordinate-other-ais,1.0,3.2074
fig4_alpha_iterative,coordinate-other-ais,1.1,3.2962
